match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
21,2/13/21,H,Sasa Kalajdzic,VfB Stuttgart,Hertha BSC,14,1:1,1,,86'
22,2/20/21,A,Sasa Kalajdzic,VfB Stuttgart,1. FC Köln,16,0:1,1,,75'
23,2/27/21,H,Sasa Kalajdzic,VfB Stuttgart,FC Schalke 04,18,5:1,1,,86'
24,3/6/21,A,Sasa Kalajdzic,VfB Stuttgart,E. Frankfurt,5,1:1,1,,87'
25,3/14/21,H,Sasa Kalajdzic,VfB Stuttgart,TSG Hoffenheim,11,2:0,1,,90'
26,3/20/21,A,Sasa Kalajdzic,VfB Stuttgart,FC Bayern,1,4:0,,,90'
27,4/4/21,H,Sasa Kalajdzic,VfB Stuttgart,Werder Bremen,17,1:0,,,90'
28,4/10/21,H,Sasa Kalajdzic,VfB Stuttgart,Bor. Dortmund,3,2:3,1,,90'
29,4/17/21,A,Sasa Kalajdzic,VfB Stuttgart,Union Berlin,7,2:1,,1,90'
30,4/21/21,H,Sasa Kalajdzic,VfB Stuttgart,VfL Wolfsburg,4,1:3,,,80'
31,4/25/21,A,Sasa Kalajdzic,VfB Stuttgart,RB Leipzig,2,2:0,,,74'
32,5/7/21,H,Sasa Kalajdzic,VfB Stuttgart,FC Augsburg,13,2:1,1,1,90'
33,5/15/21,A,Sasa Kalajdzic,VfB Stuttgart,Bor. M'gladbach,8,1:2,1,,83'
34,5/22/21,H,Sasa Kalajdzic,VfB Stuttgart,Arm. Bielefeld,15,0:2,,,90'
1,9/19/20,A,Lars Stindl,Borussia Mönchengladbach,Bor. Dortmund,3,3:0,,,57'
2,9/26/20,H,Lars Stindl,Borussia Mönchengladbach,Union Berlin,7,1:1,,,90'
3,10/3/20,A,Lars Stindl,Borussia Mönchengladbach,1. FC Köln,16,1:3,1,,77'
4,10/17/20,H,Lars Stindl,Borussia Mönchengladbach,VfL Wolfsburg,4,1:1,,,70'
5,10/24/20,A,Lars Stindl,Borussia Mönchengladbach,1.FSV Mainz 05,12,2:3,1,,54'
6,10/31/20,H,Lars Stindl,Borussia Mönchengladbach,RB Leipzig,2,1:0,,,10'
7,11/8/20,A,Lars Stindl,Borussia Mönchengladbach,Bay. Leverkusen,6,4:3,2,,90'
8,11/21/20,H,Lars Stindl,Borussia Mönchengladbach,FC Augsburg,13,1:1,,1,78'
9,11/28/20,H,Lars Stindl,Borussia Mönchengladbach,FC Schalke 04,18,4:1,,,19'
10,12/5/20,A,Lars Stindl,Borussia Mönchengladbach,SC Freiburg,10,2:2,,1,90'
