player,team,team_position,opponent,opponent_position,goals,assists
Marcos Llorente,Real Sociedad,5,Real Sociedad,5,1,
Marcos Llorente,Getafe,15,Getafe,15,,
Marcos Llorente,Alavés,16,Alavés,16,1,
Marcos Llorente,Sevilla FC,4,Sevilla FC,4,,1
Marcos Llorente,SD Eibar,20,SD Eibar,20,,1
Marcos Llorente,Valencia,13,Valencia,13,,1
Marcos Llorente,Cádiz CF,12,Cádiz CF,12,,
Marcos Llorente,Celta de Vigo,8,Celta de Vigo,8,,1
Marcos Llorente,Granada CF,9,Granada CF,9,1,1
Marcos Llorente,Levante,14,Levante,14,1,
Marcos Llorente,Levante,14,Levante,14,,
Marcos Llorente,Villarreal,7,Villarreal,7,,
Marcos Llorente,Real Madrid,2,Real Madrid,2,,1
Marcos Llorente,Athletic,10,Athletic,10,1,
Marcos Llorente,Getafe,15,Getafe,15,,
Marcos Llorente,Alavés,16,Alavés,16,,
Marcos Llorente,Sevilla FC,4,Sevilla FC,4,,
Marcos Llorente,SD Eibar,20,SD Eibar,20,2,
Marcos Llorente,SD Huesca,18,SD Huesca,18,,2
Marcos Llorente,Athletic,10,Athletic,10,,
Marcos Llorente,Elche CF,17,Elche CF,17,1,
Marcos Llorente,FC Barcelona,3,FC Barcelona,3,,
Marcos Llorente,Real Sociedad,5,Real Sociedad,5,,1
Marcos Llorente,CA Osasuna,11,CA Osasuna,11,,
Marcos Llorente,Real Valladolid,19,Real Valladolid,19,,
Santi Mina,SD Eibar,20,SD Eibar,20,,
Santi Mina,Real Valladolid,19,Real Valladolid,19,,
Santi Mina,FC Barcelona,3,FC Barcelona,3,,
Santi Mina,CA Osasuna,11,CA Osasuna,11,,
Santi Mina,Atlético Madrid,1,Atlético Madrid,1,,
Santi Mina,Levante,14,Levante,14,,
Santi Mina,Real Sociedad,5,Real Sociedad,5,,
Santi Mina,Elche CF,17,Elche CF,17,1,
Santi Mina,Sevilla FC,4,Sevilla FC,4,,
Santi Mina,Granada CF,9,Granada CF,9,,1
Santi Mina,Athletic,10,Athletic,10,,1
Santi Mina,Cádiz CF,12,Cádiz CF,12,,
Santi Mina,SD Huesca,18,SD Huesca,18,,
Santi Mina,Real Madrid,2,Real Madrid,2,,
Santi Mina,Villarreal,7,Villarreal,7,,
Santi Mina,Real Betis,6,Real Betis,6,1,
Santi Mina,SD Eibar,20,SD Eibar,20,,
Santi Mina,Granada CF,9,Granada CF,9,,
Santi Mina,Atlético Madrid,1,Atlético Madrid,1,1,
Santi Mina,Elche CF,17,Elche CF,17,2,
Santi Mina,Valencia,13,Valencia,13,,
Santi Mina,Real Valladolid,19,Real Valladolid,19,,
Santi Mina,SD Huesca,18,SD Huesca,18,1,
Santi Mina,Athletic,10,Athletic,10,,
Santi Mina,Real Madrid,2,Real Madrid,2,1,
Santi Mina,Alavés,16,Alavés,16,1,
Santi Mina,Sevilla FC,4,Sevilla FC,4,,
Santi Mina,Real Sociedad,5,Real Sociedad,5,,
Santi Mina,CA Osasuna,11,CA Osasuna,11,,1
Santi Mina,Levante,14,Levante,14,,
Santi Mina,Villarreal,7,Villarreal,7,2,
Santi Mina,Getafe,15,Getafe,15,,1
Santi Mina,FC Barcelona,3,FC Barcelona,3,2,
Santi Mina,Real Betis,6,Real Betis,6,,
Roger Martí,CA Osasuna,11,CA Osasuna,11,1,1
Roger Martí,Sevilla FC,4,Sevilla FC,4,,
Roger Martí,Real Madrid,2,Real Madrid,2,,
Roger Martí,Athletic,10,Athletic,10,,
Roger Martí,Celta de Vigo,8,Celta de Vigo,8,1,
Roger Martí,Granada CF,9,Granada CF,9,,
Roger Martí,Elche CF,17,Elche CF,17,,
Roger Martí,Real Valladolid,19,Real Valladolid,19,,
Roger Martí,Getafe,15,Getafe,15,1,1
Roger Martí,FC Barcelona,3,FC Barcelona,3,,
Roger Martí,Real Sociedad,5,Real Sociedad,5,1,
Roger Martí,SD Huesca,18,SD Huesca,18,,
Roger Martí,Real Betis,6,Real Betis,6,1,
Roger Martí,Villarreal,7,Villarreal,7,,
Roger Martí,SD Eibar,20,SD Eibar,20,,
Roger Martí,Cádiz CF,12,Cádiz CF,12,2,
Roger Martí,Real Valladolid,19,Real Valladolid,19,1,
Roger Martí,Real Madrid,2,Real Madrid,2,1,
Roger Martí,Granada CF,9,Granada CF,9,,
Roger Martí,Atlético Madrid,1,Atlético Madrid,1,,
Roger Martí,Athletic,10,Athletic,10,1,
Roger Martí,Real Sociedad,5,Real Sociedad,5,,
Roger Martí,Valencia,13,Valencia,13,1,
Roger Martí,Real Betis,6,Real Betis,6,,
Roger Martí,SD Huesca,18,SD Huesca,18,,
Roger Martí,SD Eibar,20,SD Eibar,20,,
Roger Martí,Villarreal,7,Villarreal,7,,
Roger Martí,Sevilla FC,4,Sevilla FC,4,,
Roger Martí,Elche CF,17,Elche CF,17,,
Roger Martí,Celta de Vigo,8,Celta de Vigo,8,,
Roger Martí,FC Barcelona,3,FC Barcelona,3,,1
Roger Martí,Getafe,15,Getafe,15,,
Roger Martí,Cádiz CF,12,Cádiz CF,12,1,1
Kike García,Celta de Vigo,8,Celta de Vigo,8,,
Kike García,Villarreal,7,Villarreal,7,1,
Kike García,Athletic,10,Athletic,10,1,
Kike García,Elche CF,17,Elche CF,17,,
Kike García,Real Valladolid,19,Real Valladolid,19,,
Kike García,CA Osasuna,11,CA Osasuna,11,,
Kike García,Sevilla FC,4,Sevilla FC,4,1,
Kike García,Cádiz CF,12,Cádiz CF,12,,
Kike García,SD Huesca,18,SD Huesca,18,,
Kike García,Getafe,15,Getafe,15,,
Kike García,Valencia,13,Valencia,13,,
Kike García,Real Sociedad,5,Real Sociedad,5,,
Kike García,Real Madrid,2,Real Madrid,2,1,
Kike García,Alavés,16,Alavés,16,,
Kike García,FC Barcelona,3,FC Barcelona,3,1,
Kike García,Granada CF,9,Granada CF,9,,1
Kike García,Levante,14,Levante,14,,1
Kike García,Atlético Madrid,1,Atlético Madrid,1,,
Kike García,Celta de Vigo,8,Celta de Vigo,8,,
Kike García,Sevilla FC,4,Sevilla FC,4,,
Kike García,CA Osasuna,11,CA Osasuna,11,1,
Kike García,Real Valladolid,19,Real Valladolid,19,1,
Kike García,Elche CF,17,Elche CF,17,,
Kike García,SD Huesca,18,SD Huesca,18,,
Kike García,Cádiz CF,12,Cádiz CF,12,,
Kike García,Villarreal,7,Villarreal,7,,
Kike García,Athletic,10,Athletic,10,1,
Kike García,Real Madrid,2,Real Madrid,2,,
Kike García,Levante,14,Levante,14,,
Kike García,Atlético Madrid,1,Atlético Madrid,1,,
Kike García,Granada CF,9,Granada CF,9,1,
Kike García,Real Sociedad,5,Real Sociedad,5,,
Kike García,Alavés,16,Alavés,16,3,
Kike García,Getafe,15,Getafe,15,,
Kike García,Real Betis,6,Real Betis,6,,
Kike García,Valencia,13,Valencia,13,,
Kike García,FC Barcelona,3,FC Barcelona,3,,
