match_day,date,venue,player,team,opponent,opponent_position,result,goals,assists,minutes_played
36,5/11/21,A,Antoine Griezmann,FC Barcelona,Levante,14,3:3,,,81'
37,5/16/21,H,Antoine Griezmann,FC Barcelona,Celta de Vigo,8,1:2,,,70'
38,5/22/21,A,Antoine Griezmann,FC Barcelona,SD Eibar,20,0:1,1,,90'
1,9/13/20,A,José Luis Morales,Levante UD,Valencia,13,4:2,2,,90'
3,9/27/20,A,José Luis Morales,Levante UD,CA Osasuna,11,1:3,1,1,86'
4,10/1/20,A,José Luis Morales,Levante UD,Sevilla FC,4,1:0,,,77'
5,10/4/20,H,José Luis Morales,Levante UD,Real Madrid,2,0:2,,,68'
6,10/18/20,A,José Luis Morales,Levante UD,Athletic,10,2:0,,,63'
7,10/26/20,H,José Luis Morales,Levante UD,Celta de Vigo,8,1:1,,,61'
8,11/1/20,A,José Luis Morales,Levante UD,Granada CF,9,1:1,,,60'
9,11/8/20,H,José Luis Morales,Levante UD,Alavés,16,1:1,1,,90'
10,11/21/20,H,José Luis Morales,Levante UD,Elche CF,17,1:1,,,81'
11,11/27/20,A,José Luis Morales,Levante UD,Real Valladolid,19,1:1,,,71'
12,12/5/20,H,José Luis Morales,Levante UD,Getafe,15,3:0,,,30'
13,12/13/20,A,José Luis Morales,Levante UD,Barcelona,3,1:0,,,22'
14,12/19/20,H,José Luis Morales,Levante UD,Real Sociedad,5,2:1,,,57'
15,12/22/20,A,José Luis Morales,Levante UD,SD Huesca,18,1:1,,,14'
16,12/29/20,H,José Luis Morales,Levante UD,Real Betis,6,4:3,2,1,89'
17,1/2/21,A,José Luis Morales,Levante UD,Villarreal,7,2:1,,,27'
18,1/10/21,H,José Luis Morales,Levante UD,SD Eibar,20,2:1,1,1,90'
19,1/19/21,A,José Luis Morales,Levante UD,Cádiz CF,12,2:2,,,90'
20,1/22/21,H,José Luis Morales,Levante UD,Real Valladolid,19,2:2,,,84'
21,1/30/21,A,José Luis Morales,Levante UD,Real Madrid,2,1:2,1,,76'
22,2/6/21,H,José Luis Morales,Levante UD,Granada CF,9,2:2,2,,74'
23,2/14/21,H,José Luis Morales,Levante UD,CA Osasuna,11,0:1,,,27'
2,2/17/21,H,José Luis Morales,Levante UD,Atlético Madrid,1,1:1,,,70'
24,2/20/21,A,José Luis Morales,Levante UD,Atlético Madrid,1,0:2,,1,80'
25,2/26/21,H,José Luis Morales,Levante UD,Athletic,10,1:1,,,73'
26,3/7/21,A,José Luis Morales,Levante UD,Real Sociedad,5,1:0,,,90'
27,3/12/21,H,José Luis Morales,Levante UD,Valencia,13,1:0,,,72'
28,3/19/21,A,José Luis Morales,Levante UD,Real Betis,6,2:0,,,77'
29,4/2/21,H,José Luis Morales,Levante UD,SD Huesca,18,0:2,,,71'
30,4/10/21,A,José Luis Morales,Levante UD,SD Eibar,20,0:1,,,68'
33,4/18/21,H,José Luis Morales,Levante UD,Villarreal,7,1:5,,,90'
