league,player,team_venue_goal_number,opponent_position,final_score,minute,current_score,goal_type
Bundesliga,Max Kruse,1.FSV Mainz 05_H_1,17,4:0,13',1:0,Header
Bundesliga,Max Kruse,TSG Hoffenheim_A_1,9,1:3,60',0:1,Penalty
Bundesliga,Max Kruse,Arm. Bielefeld_H_1,15,5:0,52',4:0,Penalty
Bundesliga,Max Kruse,1. FC Köln_A_1,16,1:2,72',1:2,Penalty rebound
Bundesliga,Max Kruse,E. Frankfurt_H_1,11,3:3,6',2:0,Penalty
Bundesliga,Max Kruse,TSG Hoffenheim_H_1,11,1:1,9',1:0,Penalty
Bundesliga,Max Kruse,1. FC Köln_H_1,14,2:1,48',1:1,Penalty
Bundesliga,Max Kruse,E. Frankfurt_A_1,4,5:2,7',1:1,Right-footed shot
Bundesliga,Max Kruse,RB Leipzig_H_1,2,2:1,90'+2,2:1,Header
Bundesliga,Lucas Alario,1.FSV Mainz 05_A_1,17,0:1,30',0:1,Header
Bundesliga,Lucas Alario,FC Augsburg_H_1,6,3:1,16',1:0,Penalty
Bundesliga,Lucas Alario,SC Freiburg_A_1,13,2:4,29',1:1,Right-footed shot
Bundesliga,Lucas Alario,Bor. M'gladbach_H_1,5,4:3,27',1:1,Counter attack goal
Bundesliga,Lucas Alario,TSG Hoffenheim_H_1,10,4:1,90'+1,4:1,Penalty
Bundesliga,Lucas Alario,1.FSV Mainz 05_H_1,17,2:2,14',1:0,Right-footed shot
Bundesliga,Lucas Alario,FC Schalke 04_H_1,18,2:1,26',1:0,Right-footed shot
Bundesliga,Lucas Alario,E. Frankfurt_H_1,4,3:1,80',2:0,Left-footed shot
Bundesliga,Serge Gnabry,FC Schalke 04_H_1,18,8:0,4',1:0,Left-footed shot
Bundesliga,Serge Gnabry,1. FC Köln_A_1,16,1:2,45'+1,0:2,Counter attack goal
Bundesliga,Serge Gnabry,TSG Hoffenheim_H_1,11,4:1,63',4:1,Left-footed shot
Bundesliga,Serge Gnabry,1. FC Köln_H_1,14,5:1,82',4:1,Right-footed shot
Bundesliga,Serge Gnabry,Werder Bremen_A_1,12,1:3,35',0:2,Right-footed shot
Bundesliga,Serge Gnabry,VfB Stuttgart_H_1,8,4:0,22',2:0,Left-footed shot
Bundesliga,Serge Gnabry,FC Augsburg_H_1,12,5:2,23',2:0,Header
Bundesliga,Vincenzo Grifo,VfB Stuttgart_A_1,9,2:3,48',0:3,Right-footed shot
Bundesliga,Vincenzo Grifo,Union Berlin_A_1,10,1:1,34',0:1,Right-footed shot
Bundesliga,Vincenzo Grifo,FC Augsburg_A_1,10,1:1,64',0:1,Right-footed shot
Bundesliga,Vincenzo Grifo,Bor. M'gladbach_H_1,7,2:2,49',2:1,Penalty
Bundesliga,Vincenzo Grifo,Arm. Bielefeld_H_1,16,2:0,79',1:0,Penalty
Bundesliga,Vincenzo Grifo,Hertha BSC_H_1,12,4:1,7',1:0,Header
Bundesliga,Vincenzo Grifo,TSG Hoffenheim_A_1,12,1:3,34',0:2,Penalty
Bundesliga,Vincenzo Grifo,TSG Hoffenheim_H_1,11,1:1,81',1:1,Penalty
Bundesliga,Vincenzo Grifo,1. FC Köln_A_1,17,1:4,90'+3,1:3,Right-footed shot
Bundesliga,Leon Bailey,Bor. M'gladbach_H_1,5,4:3,68',3:2,Counter attack goal
Bundesliga,Leon Bailey,Arm. Bielefeld_A_1,15,1:2,27',0:1,Right-footed shot
Bundesliga,Leon Bailey,TSG Hoffenheim_H_1,10,4:1,4',1:0,Left-footed shot
Bundesliga,Leon Bailey,VfB Stuttgart_H_1,10,5:2,56',3:1,Right-footed shot
Bundesliga,Leon Bailey,SC Freiburg_H_1,9,1:2,70',1:2,Right-footed shot
Bundesliga,Leon Bailey,1. FC Köln_H_1,17,3:0,5',1:0,Header
Bundesliga,Leon Bailey,E. Frankfurt_H_1,4,3:1,70',1:0,Left-footed shot
Bundesliga,Ihlas Bebou,1.FSV Mainz 05_A_1,15,1:1,62',1:1,Right-footed shot
Bundesliga,Ihlas Bebou,FC Augsburg_H_1,8,3:1,50',3:1,Left-footed shot
Bundesliga,Ihlas Bebou,SC Freiburg_H_1,10,1:3,58',1:3,Right-footed shot
Bundesliga,Ihlas Bebou,E. Frankfurt_H_1,4,1:3,47',1:1,Left-footed shot
Bundesliga,Ihlas Bebou,Bor. Dortmund_A_1,6,2:2,51',1:2,Header
Bundesliga,Ihlas Bebou,Werder Bremen_H_1,11,4:0,26',1:0,Right-footed shot
Bundesliga,Ihlas Bebou,1.FSV Mainz 05_H_1,17,1:2,39',1:1,Right-footed shot
Bundesliga,Ihlas Bebou,Bor. M'gladbach_H_1,7,3:2,60',2:2,Right-footed shot
Bundesliga,Ihlas Bebou,FC Schalke 04_H_1,18,4:2,64',4:2,Left-footed shot
Bundesliga,Patrik Schick,VfB Stuttgart_A_1,8,1:1,7',0:1,Header
