player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Deflected shot on goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Right-footed shot,Solo run,Tap-in
John Stones,3.0,3.0,0.0,1124,13,374.7,4.3,374.7,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Miguel Almirón,3.0,3.0,0.0,1111,14,370.3,4.7,370.3,inf,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Olivier Giroud,3.0,3.0,0.0,476,11,158.7,3.7,158.7,inf,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Sébastien Haller,3.0,3.0,0.0,507,8,169.0,2.7,169.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Aaron Connolly,3.0,2.0,1.0,451,9,150.3,3.0,225.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ayoze Pérez,3.0,2.0,1.0,766,14,255.3,4.7,383.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bobby Reid,3.0,2.0,1.0,1217,17,405.7,5.7,608.5,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Conor Gallagher,3.0,2.0,1.0,1284,16,428.0,5.3,642.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Daniel James,3.0,2.0,1.0,364,8,121.3,2.7,182.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ezgjan Alioski,3.0,2.0,1.0,1255,19,418.3,6.3,627.5,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gabriel Martinelli,3.0,2.0,1.0,413,8,137.7,2.7,206.5,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Harry Maguire,3.0,2.0,1.0,1608,18,536.0,6.0,804.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Bartley,3.0,2.0,1.0,1165,13,388.3,4.3,582.5,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Matej Vydra,3.0,2.0,1.0,665,12,221.7,4.0,332.5,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Matt Phillips,3.0,2.0,1.0,809,16,269.7,5.3,404.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Tanguy Ndombélé,3.0,2.0,1.0,1170,18,390.0,6.0,585.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Abdoulaye Doucouré,3.0,1.0,2.0,1336,16,445.3,5.3,1336.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum Hudson-Odoi,3.0,1.0,2.0,673,14,224.3,4.7,673.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Emile Smith Rowe,3.0,1.0,2.0,907,11,302.3,3.7,907.0,5.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jay Rodríguez,3.0,1.0,2.0,604,13,201.3,4.3,604.0,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Matip,3.0,1.0,2.0,375,5,125.0,1.7,375.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joelinton,3.0,1.0,2.0,902,14,300.7,4.7,902.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieran Tierney,3.0,1.0,2.0,1095,13,365.0,4.3,1095.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mbaye Diagne,3.0,1.0,2.0,715,9,238.3,3.0,715.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
