player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,Chest,Counter attack goal,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Tap-in
Marcos Alonso,1.0,1.0,0.0,270,3,270.0,3.0,270.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Martin Ødegaard,1.0,1.0,0.0,350,5,350.0,5.0,350.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mason Mount,1.0,1.0,0.0,730,9,730.0,9.0,730.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mateusz Klich,1.0,1.0,0.0,648,11,648.0,11.0,648.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Neal Maupay,1.0,1.0,0.0,519,9,519.0,9.0,519.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nélson Semedo,1.0,1.0,0.0,894,10,894.0,10.0,894.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pascal Struijk,1.0,1.0,0.0,720,9,720.0,9.0,720.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez,1.0,1.0,0.0,105,2,105.0,2.0,105.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodri,1.0,1.0,0.0,810,9,810.0,9.0,810.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Romain Saïss,1.0,1.0,0.0,720,8,720.0,8.0,720.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rúben Neves,1.0,1.0,0.0,879,12,879.0,12.0,879.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Semi Ajayi,1.0,1.0,0.0,1080,12,1080.0,12.0,1080.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Solly March,1.0,1.0,0.0,536,8,536.0,8.0,536.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Alzate,1.0,1.0,0.0,348,5,348.0,5.0,348.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Stuart Armstrong,1.0,1.0,0.0,743,9,743.0,9.0,743.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Takumi Minamino,1.0,1.0,0.0,81,3,81.0,3.0,81.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tammy Abraham,1.0,1.0,0.0,199,4,199.0,4.0,199.0,inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yerry Mina,1.0,1.0,0.0,379,6,379.0,6.0,379.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
