player,goal_involvement(goals + assists),goals,assists,minutes_played,games_played,minutes_per_goal_involvement,games_per_goal_involvement,minutes_per_goal,games_per_assist,away_goals,home_goals,Chest,Counter attack goal,Deflected shot on goal,Direct corner,Direct free kick,Header,Left-footed shot,Long distance kick,Penalty,Penalty rebound,Right-footed shot,Solo run,Tap-in
Matej Vydra,5.0,3.0,2.0,1368,28,273.6,5.6,456.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Mbaye Diagne,5.0,3.0,2.0,1193,16,238.6,3.2,397.7,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tanguy Ndombélé,5.0,3.0,2.0,2106,33,421.2,6.6,702.0,16.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Abdoulaye Doucouré,5.0,2.0,3.0,2452,29,490.4,5.8,1226.0,9.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adama Traoré,5.0,2.0,3.0,2643,37,528.6,7.4,1321.5,12.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Callum Hudson-Odoi,5.0,2.0,3.0,1058,23,211.6,4.6,529.0,7.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Ezgjan Alioski,5.0,2.0,3.0,2462,36,492.4,7.2,1231.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,5.0,2.0,3.0,1177,23,235.4,4.6,588.5,7.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Murphy,5.0,2.0,3.0,1621,26,324.2,5.2,810.5,8.7,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jeffrey Schlupp,5.0,2.0,3.0,1426,27,285.2,5.4,713.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
João Cancelo,5.0,2.0,3.0,2302,28,460.4,5.6,1151.0,9.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Nathan Redmond,5.0,2.0,3.0,1730,29,346.0,5.8,865.0,9.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Serge Aurier,5.0,2.0,3.0,1608,19,321.6,3.8,804.0,6.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Timothy Castagne,5.0,2.0,3.0,2347,27,469.4,5.4,1173.5,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieran Tierney,5.0,1.0,4.0,2301,27,460.2,5.4,2301.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Steven Bergwijn,5.0,1.0,4.0,1212,21,242.4,4.2,1212.0,5.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wilfred Ndidi,5.0,1.0,4.0,2179,26,435.8,5.2,2179.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
John Stones,4.0,4.0,0.0,1934,22,483.5,5.5,483.5,inf,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Olivier Giroud,4.0,4.0,0.0,747,17,186.8,4.2,186.8,inf,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Raúl Jiménez,4.0,4.0,0.0,825,10,206.2,2.5,206.2,inf,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Daniel James,4.0,3.0,1.0,912,15,228.0,3.8,304.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Kyle Bartley,4.0,3.0,1.0,2584,30,646.0,7.5,861.3,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Michael Keane,4.0,3.0,1.0,2990,35,747.5,8.8,996.7,35.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ross Barkley,4.0,3.0,1.0,1577,26,394.2,6.5,525.7,26.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Conor Gallagher,4.0,2.0,2.0,2532,30,633.0,7.5,1266.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
James Justin,4.0,2.0,2.0,2070,23,517.5,5.8,1035.0,11.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
